date,region,country,channel,customer_type,product_category,product,units_sold,unit_price,discount_rate,revenue,cogs,profit,price_bucket
2024-01-03,Northeast,USA,Retail,Consumer,Electronics,Noise-Cancelling Headphones,18,129.00,0.05,2205.90,1393.20,812.70,mid
2024-01-05,Midwest,USA,Online,Small Business,Office Supplies,Ink Cartridge Pack,42,28.50,0.10,1077.30,718.20,359.10,low
2024-01-08,West,USA,Retail,Enterprise,Electronics,Wireless Router,25,86.00,0.08,1978.00,1290.00,688.00,low
2024-01-10,South,USA,Online,Consumer,Home & Kitchen,Air Fryer,30,95.00,0.07,2650.50,1710.00,940.50,low
2024-01-12,Northeast,USA,Retail,Small Business,Office Supplies,Ergonomic Chair,16,210.00,0.12,2956.80,2016.00,940.80,mid
2024-01-15,South,USA,Wholesale,Enterprise,Home & Kitchen,Stainless Cookware Set,12,320.00,0.04,3686.40,2304.00,1382.40,high
2024-01-18,West,USA,Online,Consumer,Health,Fitness Tracker,45,79.00,0.06,3341.70,2133.00,1208.70,low
2024-01-21,Midwest,USA,Retail,Consumer,Home & Kitchen,Cordless Vacuum,28,155.00,0.09,3949.40,2604.00,1345.40,mid
2024-01-24,Northeast,USA,Online,Enterprise,Office Supplies,Standing Desk,10,490.00,0.15,4165.00,2940.00,1225.00,high
2024-01-27,West,USA,Retail,Small Business,Electronics,Laptop,14,980.00,0.05,13034.00,8232.00,4802.00,high
2024-01-30,South,USA,Online,Consumer,Health,Electric Toothbrush,36,58.00,0.03,2025.36,1252.80,772.56,low
2024-02-02,Midwest,USA,Wholesale,Enterprise,Office Supplies,Laser Printer,9,610.00,0.11,4886.10,3294.00,1592.10,high
2024-02-05,Northeast,USA,Retail,Consumer,Home & Kitchen,Espresso Machine,22,430.00,0.08,8703.20,5676.00,3027.20,high
2024-02-08,South,USA,Online,Small Business,Electronics,Projector,11,720.00,0.10,7128.00,4752.00,2376.00,high
2024-02-10,West,USA,Retail,Consumer,Health,Smart Scale,40,62.00,0.02,2430.40,1488.00,942.40,low
2024-02-12,Midwest,USA,Online,Consumer,Electronics,Bluetooth Speaker,55,54.00,0.07,2762.10,1782.00,980.10,low
2024-02-15,Northeast,USA,Wholesale,Enterprise,Office Supplies,Conference Table,5,1100.00,0.13,4785.00,3300.00,1485.00,high
2024-02-18,South,USA,Retail,Consumer,Home & Kitchen,Air Purifier,27,265.00,0.06,6725.70,4293.00,2432.70,mid
2024-02-21,West,USA,Online,Small Business,Electronics,Monitor,33,240.00,0.09,7207.20,4752.00,2455.20,mid
2024-02-23,Midwest,USA,Retail,Consumer,Health,Massage Gun,24,135.00,0.05,3078.00,1944.00,1134.00,mid
2024-02-25,Northeast,USA,Online,Small Business,Home & Kitchen,Smart Thermostat,19,210.00,0.07,3710.70,2394.00,1316.70,mid
2024-02-27,South,USA,Wholesale,Enterprise,Electronics,Server Rack,7,1820.00,0.12,11211.20,7644.00,3567.20,high
2024-02-29,West,USA,Retail,Consumer,Office Supplies,Desk Lamp,60,32.00,0.04,1843.20,1152.00,691.20,low
2024-03-01,Midwest,USA,Online,Consumer,Home & Kitchen,Blender,38,88.00,0.05,3176.80,2006.40,1170.40,low
